,feature1,feature2,sim.score,z.stat,p.value,q.value
259,k__Bacteria;p__CCM11b,k__Bacteria;p__OP3,NA,NA,NA,NA
260,k__Bacteria;p__CCM11b,k__Bacteria;p__Planctomycetes,NA,NA,NA,NA
261,k__Bacteria;p__CCM11b,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,NA,NA,NA,NA
262,k__Bacteria;p__CCM11b,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria,NA,NA,NA,NA
263,k__Bacteria;p__CCM11b,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria,NA,NA,NA,NA
264,k__Bacteria;p__CCM11b,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,NA,NA,NA,NA
265,k__Bacteria;p__CCM11b,k__Bacteria;p__SC3,NA,NA,NA,NA
266,k__Bacteria;p__CCM11b,k__Bacteria;p__SC4,NA,NA,NA,NA
267,k__Bacteria;p__CCM11b,k__Bacteria;p__SM2F11,NA,NA,NA,NA
268,k__Bacteria;p__CCM11b,k__Bacteria;p__SPAM,NA,NA,NA,NA
269,k__Bacteria;p__CCM11b,k__Bacteria;p__Spirochaetes,NA,NA,NA,NA
270,k__Bacteria;p__CCM11b,k__Bacteria;p__TG3,NA,NA,NA,NA
271,k__Bacteria;p__CCM11b,k__Bacteria;p__TM7,NA,NA,NA,NA
272,k__Bacteria;p__CCM11b,k__Bacteria;p__Tenericutes,NA,NA,NA,NA
273,k__Bacteria;p__CCM11b,k__Bacteria;p__Thermi,NA,NA,NA,NA
274,k__Bacteria;p__CCM11b,k__Bacteria;p__Verrucomicrobia,NA,NA,NA,NA
275,k__Bacteria;p__CCM11b,k__Bacteria;p__WPS-2,NA,NA,NA,NA
276,k__Bacteria;p__CCM11b,k__Bacteria;p__WS3,NA,NA,NA,NA
277,k__Bacteria;p__Chlamydiae,k__Bacteria;p__Chlorobi,0.343827182,1.554755648,0.120004276,1.183476475
278,k__Bacteria;p__Chlamydiae,k__Bacteria;p__Chloroflexi,0.30208388,1.321391089,0.186370996,1.682827599
279,k__Bacteria;p__Chlamydiae,k__Bacteria;p__Cyanobacteria,0.034855832,-0.002359433,0.998117446,6.008301092
280,k__Bacteria;p__Chlamydiae,k__Bacteria;p__Elusimicrobia,NA,NA,NA,NA
281,k__Bacteria;p__Chlamydiae,k__Bacteria;p__Firmicutes,0.288141547,1.394742266,0.163093574,1.511915826
282,k__Bacteria;p__Chlamydiae,k__Bacteria;p__Fusobacteria,NA,NA,NA,NA
283,k__Bacteria;p__Chlamydiae,k__Bacteria;p__Gemmatimonadetes,0.347396462,1.640501727,0.10090089,1.062926136
284,k__Bacteria;p__Chlamydiae,k__Bacteria;p__Marine group A,-0.040122183,-0.343284887,0.731384149,4.842930879
285,k__Bacteria;p__Chlamydiae,k__Bacteria;p__NKB19,NA,NA,NA,NA
286,k__Bacteria;p__Chlamydiae,k__Bacteria;p__Nitrospirae,0.604501081,3.31483121,0.000916985,0.018479706
287,k__Bacteria;p__Chlamydiae,k__Bacteria;p__OP10,0.156710664,0.534575061,0.592943733,4.185325874
288,k__Bacteria;p__Chlamydiae,k__Bacteria;p__OP11,NA,NA,NA,NA
289,k__Bacteria;p__Chlamydiae,k__Bacteria;p__OP3,NA,NA,NA,NA
290,k__Bacteria;p__Chlamydiae,k__Bacteria;p__Planctomycetes,0.397356489,2.032443087,0.04210882,0.518175229
291,k__Bacteria;p__Chlamydiae,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,0.190545217,0.806536943,0.419933315,3.262190519
292,k__Bacteria;p__Chlamydiae,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria,-0.196354522,-0.872014933,0.383200231,3.01047148
293,k__Bacteria;p__Chlamydiae,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria,0.295112714,1.356508261,0.174937509,1.589913614
294,k__Bacteria;p__Chlamydiae,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,-0.37760485,-1.634415743,0.102171585,1.068219521
295,k__Bacteria;p__Chlamydiae,k__Bacteria;p__SC3,NA,NA,NA,NA
296,k__Bacteria;p__Chlamydiae,k__Bacteria;p__SC4,NA,NA,NA,NA
297,k__Bacteria;p__Chlamydiae,k__Bacteria;p__SM2F11,NA,NA,NA,NA
298,k__Bacteria;p__Chlamydiae,k__Bacteria;p__SPAM,NA,NA,NA,NA
299,k__Bacteria;p__Chlamydiae,k__Bacteria;p__Spirochaetes,NA,NA,NA,NA
300,k__Bacteria;p__Chlamydiae,k__Bacteria;p__TG3,NA,NA,NA,NA
301,k__Bacteria;p__Chlamydiae,k__Bacteria;p__TM7,NA,NA,NA,NA
302,k__Bacteria;p__Chlamydiae,k__Bacteria;p__Tenericutes,NA,NA,NA,NA
303,k__Bacteria;p__Chlamydiae,k__Bacteria;p__Thermi,0.052810296,0.258256049,0.796209304,5.125727552
304,k__Bacteria;p__Chlamydiae,k__Bacteria;p__Verrucomicrobia,0.523999346,2.614651381,0.008931857,0.13500068
305,k__Bacteria;p__Chlamydiae,k__Bacteria;p__WPS-2,0.133355965,0.627326129,0.530445479,3.821778076
306,k__Bacteria;p__Chlamydiae,k__Bacteria;p__WS3,NA,NA,NA,NA
307,k__Bacteria;p__Chlorobi,k__Bacteria;p__Chloroflexi,0.808516534,5.064743421,4.09E-07,5.69E-05
308,k__Bacteria;p__Chlorobi,k__Bacteria;p__Cyanobacteria,0.13857166,0.595613149,0.551433691,3.932246246
309,k__Bacteria;p__Chlorobi,k__Bacteria;p__Elusimicrobia,NA,NA,NA,NA
310,k__Bacteria;p__Chlorobi,k__Bacteria;p__Firmicutes,0.470270751,2.338211403,0.019376284,0.259071225
311,k__Bacteria;p__Chlorobi,k__Bacteria;p__Fusobacteria,NA,NA,NA,NA
312,k__Bacteria;p__Chlorobi,k__Bacteria;p__Gemmatimonadetes,0.700496106,4.20353242,2.63E-05,0.001074726
313,k__Bacteria;p__Chlorobi,k__Bacteria;p__Marine group A,0.09655281,0.425144432,0.67073139,4.594461482
314,k__Bacteria;p__Chlorobi,k__Bacteria;p__NKB19,NA,NA,NA,NA
315,k__Bacteria;p__Chlorobi,k__Bacteria;p__Nitrospirae,0.497688511,2.334638287,0.019562325,0.25906765
316,k__Bacteria;p__Chlorobi,k__Bacteria;p__OP10,0.338598345,1.512531387,0.130398734,1.259194751
317,k__Bacteria;p__Chlorobi,k__Bacteria;p__OP11,NA,NA,NA,NA
318,k__Bacteria;p__Chlorobi,k__Bacteria;p__OP3,NA,NA,NA,NA
319,k__Bacteria;p__Chlorobi,k__Bacteria;p__Planctomycetes,0.557559985,2.921569496,0.003482726,0.060535663
320,k__Bacteria;p__Chlorobi,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,-0.306603436,-1.498573727,0.133984253,1.276094756
321,k__Bacteria;p__Chlorobi,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria,-0.362250323,-1.817252034,0.069178531,0.77576766
322,k__Bacteria;p__Chlorobi,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria,0.793240918,4.910260565,9.10E-07,9.03E-05
323,k__Bacteria;p__Chlorobi,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,-0.238954279,-1.073782985,0.282919958,2.36994091
324,k__Bacteria;p__Chlorobi,k__Bacteria;p__SC3,NA,NA,NA,NA
325,k__Bacteria;p__Chlorobi,k__Bacteria;p__SC4,NA,NA,NA,NA
326,k__Bacteria;p__Chlorobi,k__Bacteria;p__SM2F11,NA,NA,NA,NA
327,k__Bacteria;p__Chlorobi,k__Bacteria;p__SPAM,NA,NA,NA,NA
328,k__Bacteria;p__Chlorobi,k__Bacteria;p__Spirochaetes,NA,NA,NA,NA
329,k__Bacteria;p__Chlorobi,k__Bacteria;p__TG3,NA,NA,NA,NA
330,k__Bacteria;p__Chlorobi,k__Bacteria;p__TM7,NA,NA,NA,NA
331,k__Bacteria;p__Chlorobi,k__Bacteria;p__Tenericutes,NA,NA,NA,NA
332,k__Bacteria;p__Chlorobi,k__Bacteria;p__Thermi,0.563373282,2.885684916,0.003905629,0.066230679
333,k__Bacteria;p__Chlorobi,k__Bacteria;p__Verrucomicrobia,0.7354118,4.458824896,8.24E-06,0.000424423
334,k__Bacteria;p__Chlorobi,k__Bacteria;p__WPS-2,0.485004598,2.453258185,0.014156869,0.202944596
335,k__Bacteria;p__Chlorobi,k__Bacteria;p__WS3,NA,NA,NA,NA
336,k__Bacteria;p__Chloroflexi,k__Bacteria;p__Cyanobacteria,0.127470356,0.609265709,0.542348332,3.887394361
337,k__Bacteria;p__Chloroflexi,k__Bacteria;p__Elusimicrobia,NA,NA,NA,NA
338,k__Bacteria;p__Chloroflexi,k__Bacteria;p__Firmicutes,0.679841897,3.735097881,0.000187642,0.004831909
339,k__Bacteria;p__Chloroflexi,k__Bacteria;p__Fusobacteria,NA,NA,NA,NA
340,k__Bacteria;p__Chloroflexi,k__Bacteria;p__Gemmatimonadetes,0.842885375,4.783022046,1.73E-06,0.000150073
341,k__Bacteria;p__Chloroflexi,k__Bacteria;p__Marine group A,0.159419355,0.754734745,0.450408155,3.403850234
342,k__Bacteria;p__Chloroflexi,k__Bacteria;p__NKB19,NA,NA,NA,NA
343,k__Bacteria;p__Chloroflexi,k__Bacteria;p__Nitrospirae,0.684994671,3.571823509,0.000354504,0.008499151
344,k__Bacteria;p__Chloroflexi,k__Bacteria;p__OP10,0.33370017,1.608942023,0.107629019,1.108607051
345,k__Bacteria;p__Chloroflexi,k__Bacteria;p__OP11,NA,NA,NA,NA
346,k__Bacteria;p__Chloroflexi,k__Bacteria;p__OP3,NA,NA,NA,NA
347,k__Bacteria;p__Chloroflexi,k__Bacteria;p__Planctomycetes,0.713438735,4.199802793,2.67E-05,0.001061366
348,k__Bacteria;p__Chloroflexi,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,-0.267786561,-1.08873109,0.276272487,2.328282721
349,k__Bacteria;p__Chloroflexi,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria,-0.683794466,-3.830548957,0.000127858,0.003703972
350,k__Bacteria;p__Chloroflexi,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria,0.908102767,5.8119084,6.18E-09,8.59E-06
351,k__Bacteria;p__Chloroflexi,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,-0.340909091,-1.633602535,0.102342335,1.062019632
352,k__Bacteria;p__Chloroflexi,k__Bacteria;p__SC3,NA,NA,NA,NA
353,k__Bacteria;p__Chloroflexi,k__Bacteria;p__SC4,NA,NA,NA,NA
354,k__Bacteria;p__Chloroflexi,k__Bacteria;p__SM2F11,NA,NA,NA,NA
355,k__Bacteria;p__Chloroflexi,k__Bacteria;p__SPAM,NA,NA,NA,NA
356,k__Bacteria;p__Chloroflexi,k__Bacteria;p__Spirochaetes,NA,NA,NA,NA
357,k__Bacteria;p__Chloroflexi,k__Bacteria;p__TG3,NA,NA,NA,NA
358,k__Bacteria;p__Chloroflexi,k__Bacteria;p__TM7,NA,NA,NA,NA
359,k__Bacteria;p__Chloroflexi,k__Bacteria;p__Tenericutes,NA,NA,NA,NA
360,k__Bacteria;p__Chloroflexi,k__Bacteria;p__Thermi,0.544017214,2.988197946,0.002806277,0.050028561
361,k__Bacteria;p__Chloroflexi,k__Bacteria;p__Verrucomicrobia,0.824110672,4.76948874,1.85E-06,0.000151073
362,k__Bacteria;p__Chloroflexi,k__Bacteria;p__WPS-2,0.596469732,3.175038025,0.001498169,0.028934117
363,k__Bacteria;p__Chloroflexi,k__Bacteria;p__WS3,NA,NA,NA,NA
364,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__Elusimicrobia,NA,NA,NA,NA
365,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__Firmicutes,0.088932806,0.328296757,0.742687296,4.871381645
366,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__Fusobacteria,NA,NA,NA,NA
367,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__Gemmatimonadetes,0.109683794,0.428729719,0.66811993,4.622111213
368,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__Marine group A,0.199407488,1.035774772,0.30030723,2.485641707
369,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__NKB19,NA,NA,NA,NA
370,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__Nitrospirae,0.069341471,0.15259882,0.878714656,5.528885774
371,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__OP10,0.048100925,0.395570334,0.692422026,4.673967361
372,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__OP11,NA,NA,NA,NA
373,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__OP3,NA,NA,NA,NA
374,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__Planctomycetes,-0.023715415,-0.196735288,0.844034694,5.334818384
375,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,0.126482213,0.628847682,0.52944878,3.834464704
376,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria,-0.071146245,-0.274094688,0.784011856,5.070679853
377,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria,0.000988142,-0.006222966,0.995034823,6.0157872
378,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,-0.186758893,-0.74194221,0.45812235,3.443434078
379,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__SC3,NA,NA,NA,NA
380,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__SC4,NA,NA,NA,NA
381,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__SM2F11,NA,NA,NA,NA
382,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__SPAM,NA,NA,NA,NA
383,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__Spirochaetes,NA,NA,NA,NA
384,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__TG3,NA,NA,NA,NA
385,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__TM7,NA,NA,NA,NA
386,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__Tenericutes,NA,NA,NA,NA
387,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__Thermi,0.090333099,0.425234893,0.67066545,4.616752422
388,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__Verrucomicrobia,0.217391304,0.922523644,0.356255503,2.847045154
389,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__WPS-2,-0.0510376,-0.244530801,0.80681975,5.17009839
390,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__WS3,NA,NA,NA,NA
391,k__Bacteria;p__Elusimicrobia,k__Bacteria;p__Firmicutes,NA,NA,NA,NA
392,k__Bacteria;p__Elusimicrobia,k__Bacteria;p__Fusobacteria,NA,NA,NA,NA
393,k__Bacteria;p__Elusimicrobia,k__Bacteria;p__Gemmatimonadetes,NA,NA,NA,NA
394,k__Bacteria;p__Elusimicrobia,k__Bacteria;p__Marine group A,NA,NA,NA,NA
395,k__Bacteria;p__Elusimicrobia,k__Bacteria;p__NKB19,NA,NA,NA,NA
396,k__Bacteria;p__Elusimicrobia,k__Bacteria;p__Nitrospirae,NA,NA,NA,NA
397,k__Bacteria;p__Elusimicrobia,k__Bacteria;p__OP10,NA,NA,NA,NA
398,k__Bacteria;p__Elusimicrobia,k__Bacteria;p__OP11,NA,NA,NA,NA
399,k__Bacteria;p__Elusimicrobia,k__Bacteria;p__OP3,NA,NA,NA,NA
400,k__Bacteria;p__Elusimicrobia,k__Bacteria;p__Planctomycetes,NA,NA,NA,NA
401,k__Bacteria;p__Elusimicrobia,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,NA,NA,NA,NA
402,k__Bacteria;p__Elusimicrobia,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria,NA,NA,NA,NA
403,k__Bacteria;p__Elusimicrobia,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria,NA,NA,NA,NA
404,k__Bacteria;p__Elusimicrobia,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,NA,NA,NA,NA
405,k__Bacteria;p__Elusimicrobia,k__Bacteria;p__SC3,NA,NA,NA,NA
406,k__Bacteria;p__Elusimicrobia,k__Bacteria;p__SC4,NA,NA,NA,NA
407,k__Bacteria;p__Elusimicrobia,k__Bacteria;p__SM2F11,NA,NA,NA,NA
408,k__Bacteria;p__Elusimicrobia,k__Bacteria;p__SPAM,NA,NA,NA,NA
409,k__Bacteria;p__Elusimicrobia,k__Bacteria;p__Spirochaetes,NA,NA,NA,NA
410,k__Bacteria;p__Elusimicrobia,k__Bacteria;p__TG3,NA,NA,NA,NA
411,k__Bacteria;p__Elusimicrobia,k__Bacteria;p__TM7,NA,NA,NA,NA
412,k__Bacteria;p__Elusimicrobia,k__Bacteria;p__Tenericutes,NA,NA,NA,NA
413,k__Bacteria;p__Elusimicrobia,k__Bacteria;p__Thermi,NA,NA,NA,NA
414,k__Bacteria;p__Elusimicrobia,k__Bacteria;p__Verrucomicrobia,NA,NA,NA,NA
415,k__Bacteria;p__Elusimicrobia,k__Bacteria;p__WPS-2,NA,NA,NA,NA
416,k__Bacteria;p__Elusimicrobia,k__Bacteria;p__WS3,NA,NA,NA,NA
417,k__Bacteria;p__Firmicutes,k__Bacteria;p__Fusobacteria,NA,NA,NA,NA
418,k__Bacteria;p__Firmicutes,k__Bacteria;p__Gemmatimonadetes,0.652173913,3.366333088,0.000761747,0.016049025
419,k__Bacteria;p__Firmicutes,k__Bacteria;p__Marine group A,-0.241528321,-1.204682247,0.228325992,2.009464268
420,k__Bacteria;p__Firmicutes,k__Bacteria;p__NKB19,NA,NA,NA,NA
421,k__Bacteria;p__Firmicutes,k__Bacteria;p__Nitrospirae,0.819219946,4.701600298,2.58E-06,0.000199411
422,k__Bacteria;p__Firmicutes,k__Bacteria;p__OP10,0.201422625,0.773214478,0.439395459,3.357114838
423,k__Bacteria;p__Firmicutes,k__Bacteria;p__OP11,NA,NA,NA,NA
424,k__Bacteria;p__Firmicutes,k__Bacteria;p__OP3,NA,NA,NA,NA
425,k__Bacteria;p__Firmicutes,k__Bacteria;p__Planctomycetes,0.806324111,4.639824371,3.49E-06,0.000242444
426,k__Bacteria;p__Firmicutes,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,-0.259881423,-1.117505308,0.263778331,2.236543191
427,k__Bacteria;p__Firmicutes,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria,-0.877470356,-5.407138609,6.40E-08,1.78E-05
428,k__Bacteria;p__Firmicutes,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria,0.697628458,3.883221595,0.000103082,0.003049756
429,k__Bacteria;p__Firmicutes,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,-0.545454545,-2.838694761,0.004529847,0.074104843
430,k__Bacteria;p__Firmicutes,k__Bacteria;p__SC3,NA,NA,NA,NA
431,k__Bacteria;p__Firmicutes,k__Bacteria;p__SC4,NA,NA,NA,NA
432,k__Bacteria;p__Firmicutes,k__Bacteria;p__SM2F11,NA,NA,NA,NA
433,k__Bacteria;p__Firmicutes,k__Bacteria;p__SPAM,NA,NA,NA,NA
434,k__Bacteria;p__Firmicutes,k__Bacteria;p__Spirochaetes,NA,NA,NA,NA
435,k__Bacteria;p__Firmicutes,k__Bacteria;p__TG3,NA,NA,NA,NA
436,k__Bacteria;p__Firmicutes,k__Bacteria;p__TM7,NA,NA,NA,NA
437,k__Bacteria;p__Firmicutes,k__Bacteria;p__Tenericutes,NA,NA,NA,NA
438,k__Bacteria;p__Firmicutes,k__Bacteria;p__Thermi,0.328025222,1.642261523,0.100535817,1.067164917
439,k__Bacteria;p__Firmicutes,k__Bacteria;p__Verrucomicrobia,0.718379447,3.940088475,8.15E-05,0.002633983
440,k__Bacteria;p__Firmicutes,k__Bacteria;p__WPS-2,0.406754208,1.857937494,0.063177891,0.714236491
441,k__Bacteria;p__Firmicutes,k__Bacteria;p__WS3,NA,NA,NA,NA
442,k__Bacteria;p__Fusobacteria,k__Bacteria;p__Gemmatimonadetes,NA,NA,NA,NA
443,k__Bacteria;p__Fusobacteria,k__Bacteria;p__Marine group A,NA,NA,NA,NA
444,k__Bacteria;p__Fusobacteria,k__Bacteria;p__NKB19,NA,NA,NA,NA
445,k__Bacteria;p__Fusobacteria,k__Bacteria;p__Nitrospirae,NA,NA,NA,NA
446,k__Bacteria;p__Fusobacteria,k__Bacteria;p__OP10,NA,NA,NA,NA
447,k__Bacteria;p__Fusobacteria,k__Bacteria;p__OP11,NA,NA,NA,NA
448,k__Bacteria;p__Fusobacteria,k__Bacteria;p__OP3,NA,NA,NA,NA
449,k__Bacteria;p__Fusobacteria,k__Bacteria;p__Planctomycetes,NA,NA,NA,NA
450,k__Bacteria;p__Fusobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,NA,NA,NA,NA
451,k__Bacteria;p__Fusobacteria,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria,NA,NA,NA,NA
452,k__Bacteria;p__Fusobacteria,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria,NA,NA,NA,NA
453,k__Bacteria;p__Fusobacteria,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,NA,NA,NA,NA
454,k__Bacteria;p__Fusobacteria,k__Bacteria;p__SC3,NA,NA,NA,NA
455,k__Bacteria;p__Fusobacteria,k__Bacteria;p__SC4,NA,NA,NA,NA
456,k__Bacteria;p__Fusobacteria,k__Bacteria;p__SM2F11,NA,NA,NA,NA
457,k__Bacteria;p__Fusobacteria,k__Bacteria;p__SPAM,NA,NA,NA,NA
458,k__Bacteria;p__Fusobacteria,k__Bacteria;p__Spirochaetes,NA,NA,NA,NA
459,k__Bacteria;p__Fusobacteria,k__Bacteria;p__TG3,NA,NA,NA,NA
460,k__Bacteria;p__Fusobacteria,k__Bacteria;p__TM7,NA,NA,NA,NA
461,k__Bacteria;p__Fusobacteria,k__Bacteria;p__Tenericutes,NA,NA,NA,NA
462,k__Bacteria;p__Fusobacteria,k__Bacteria;p__Thermi,NA,NA,NA,NA
463,k__Bacteria;p__Fusobacteria,k__Bacteria;p__Verrucomicrobia,NA,NA,NA,NA
464,k__Bacteria;p__Fusobacteria,k__Bacteria;p__WPS-2,NA,NA,NA,NA
465,k__Bacteria;p__Fusobacteria,k__Bacteria;p__WS3,NA,NA,NA,NA
466,k__Bacteria;p__Gemmatimonadetes,k__Bacteria;p__Marine group A,0.025592405,0.088547196,0.929441775,5.744096026
467,k__Bacteria;p__Gemmatimonadetes,k__Bacteria;p__NKB19,NA,NA,NA,NA
468,k__Bacteria;p__Gemmatimonadetes,k__Bacteria;p__Nitrospirae,0.664687526,3.469631486,0.000521173,0.01168886
469,k__Bacteria;p__Gemmatimonadetes,k__Bacteria;p__OP10,0.380798993,1.95428582,0.050667425,0.597074943
470,k__Bacteria;p__Gemmatimonadetes,k__Bacteria;p__OP11,NA,NA,NA,NA
471,k__Bacteria;p__Gemmatimonadetes,k__Bacteria;p__OP3,NA,NA,NA,NA
472,k__Bacteria;p__Gemmatimonadetes,k__Bacteria;p__Planctomycetes,0.740118577,4.207170049,2.59E-05,0.001089626
473,k__Bacteria;p__Gemmatimonadetes,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,-0.178853755,-0.781314318,0.434617651,3.357506611
474,k__Bacteria;p__Gemmatimonadetes,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria,-0.67687747,-3.515852521,0.000438344,0.010158889
475,k__Bacteria;p__Gemmatimonadetes,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria,0.766798419,4.25036443,2.13E-05,0.00095733
476,k__Bacteria;p__Gemmatimonadetes,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,-0.329051383,-1.573774721,0.11553954,1.164216016
477,k__Bacteria;p__Gemmatimonadetes,k__Bacteria;p__SC3,NA,NA,NA,NA
478,k__Bacteria;p__Gemmatimonadetes,k__Bacteria;p__SC4,NA,NA,NA,NA
479,k__Bacteria;p__Gemmatimonadetes,k__Bacteria;p__SM2F11,NA,NA,NA,NA
480,k__Bacteria;p__Gemmatimonadetes,k__Bacteria;p__SPAM,NA,NA,NA,NA
481,k__Bacteria;p__Gemmatimonadetes,k__Bacteria;p__Spirochaetes,NA,NA,NA,NA
482,k__Bacteria;p__Gemmatimonadetes,k__Bacteria;p__TG3,NA,NA,NA,NA
483,k__Bacteria;p__Gemmatimonadetes,k__Bacteria;p__TM7,NA,NA,NA,NA
484,k__Bacteria;p__Gemmatimonadetes,k__Bacteria;p__Tenericutes,NA,NA,NA,NA
485,k__Bacteria;p__Gemmatimonadetes,k__Bacteria;p__Thermi,0.456712039,2.423031292,0.015391601,0.218393514
486,k__Bacteria;p__Gemmatimonadetes,k__Bacteria;p__Verrucomicrobia,0.923913043,5.642589401,1.68E-08,7.76E-06
487,k__Bacteria;p__Gemmatimonadetes,k__Bacteria;p__WPS-2,0.61554439,3.412792925,0.000643008,0.013970704
488,k__Bacteria;p__Gemmatimonadetes,k__Bacteria;p__WS3,NA,NA,NA,NA
489,k__Bacteria;p__Marine group A,k__Bacteria;p__NKB19,NA,NA,NA,NA
490,k__Bacteria;p__Marine group A,k__Bacteria;p__Nitrospirae,-0.032604325,-0.335056098,0.737582769,4.860828836
491,k__Bacteria;p__Marine group A,k__Bacteria;p__OP10,0.118955697,0.647475969,0.517323942,3.766268107
492,k__Bacteria;p__Marine group A,k__Bacteria;p__OP11,NA,NA,NA,NA
493,k__Bacteria;p__Marine group A,k__Bacteria;p__OP3,NA,NA,NA,NA
494,k__Bacteria;p__Marine group A,k__Bacteria;p__Planctomycetes,-0.07837674,-0.362587863,0.716912778,4.792752559
495,k__Bacteria;p__Marine group A,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,0.179146834,0.957108436,0.338512526,2.72088798
496,k__Bacteria;p__Marine group A,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria,0.073044989,0.395395547,0.692550995,4.652254167
497,k__Bacteria;p__Marine group A,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria,0.045319884,0.103318887,0.917709886,5.722457402
498,k__Bacteria;p__Marine group A,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,0.227665768,1.129815832,0.258553836,2.219310111
499,k__Bacteria;p__Marine group A,k__Bacteria;p__SC3,NA,NA,NA,NA
500,k__Bacteria;p__Marine group A,k__Bacteria;p__SC4,NA,NA,NA,NA
501,k__Bacteria;p__Marine group A,k__Bacteria;p__SM2F11,NA,NA,NA,NA
502,k__Bacteria;p__Marine group A,k__Bacteria;p__SPAM,NA,NA,NA,NA
503,k__Bacteria;p__Marine group A,k__Bacteria;p__Spirochaetes,NA,NA,NA,NA
504,k__Bacteria;p__Marine group A,k__Bacteria;p__TG3,NA,NA,NA,NA
505,k__Bacteria;p__Marine group A,k__Bacteria;p__TM7,NA,NA,NA,NA
506,k__Bacteria;p__Marine group A,k__Bacteria;p__Tenericutes,NA,NA,NA,NA
507,k__Bacteria;p__Marine group A,k__Bacteria;p__Thermi,-0.216476811,-1.023031942,0.306292743,2.520182691
508,k__Bacteria;p__Marine group A,k__Bacteria;p__Verrucomicrobia,0.022926529,0.007713353,0.993845696,6.034836385
509,k__Bacteria;p__Marine group A,k__Bacteria;p__WPS-2,0.027816688,0.05673071,0.954759711,5.822925833
510,k__Bacteria;p__Marine group A,k__Bacteria;p__WS3,NA,NA,NA,NA
511,k__Bacteria;p__NKB19,k__Bacteria;p__Nitrospirae,NA,NA,NA,NA
512,k__Bacteria;p__NKB19,k__Bacteria;p__OP10,NA,NA,NA,NA
513,k__Bacteria;p__NKB19,k__Bacteria;p__OP11,NA,NA,NA,NA
