,feature1,feature2,sim.score,z.stat,p.value,q.value
41,k__Archaea;p__Euryarchaeota,k__Bacteria;p__Actinobacteria,NA,NA,NA,NA
42,k__Archaea;p__Euryarchaeota,k__Bacteria;p__BRC1,NA,NA,NA,NA
43,k__Archaea;p__Euryarchaeota,k__Bacteria;p__Bacteroidetes,NA,NA,NA,NA
44,k__Archaea;p__Euryarchaeota,k__Bacteria;p__CCM11b,NA,NA,NA,NA
45,k__Archaea;p__Euryarchaeota,k__Bacteria;p__Chlamydiae,NA,NA,NA,NA
46,k__Archaea;p__Euryarchaeota,k__Bacteria;p__Chlorobi,NA,NA,NA,NA
47,k__Archaea;p__Euryarchaeota,k__Bacteria;p__Chloroflexi,NA,NA,NA,NA
48,k__Archaea;p__Euryarchaeota,k__Bacteria;p__Cyanobacteria,NA,NA,NA,NA
49,k__Archaea;p__Euryarchaeota,k__Bacteria;p__Elusimicrobia,NA,NA,NA,NA
50,k__Archaea;p__Euryarchaeota,k__Bacteria;p__Firmicutes,NA,NA,NA,NA
51,k__Archaea;p__Euryarchaeota,k__Bacteria;p__Fusobacteria,NA,NA,NA,NA
52,k__Archaea;p__Euryarchaeota,k__Bacteria;p__Gemmatimonadetes,NA,NA,NA,NA
53,k__Archaea;p__Euryarchaeota,k__Bacteria;p__Marine group A,NA,NA,NA,NA
54,k__Archaea;p__Euryarchaeota,k__Bacteria;p__NKB19,NA,NA,NA,NA
55,k__Archaea;p__Euryarchaeota,k__Bacteria;p__Nitrospirae,NA,NA,NA,NA
56,k__Archaea;p__Euryarchaeota,k__Bacteria;p__OP10,NA,NA,NA,NA
57,k__Archaea;p__Euryarchaeota,k__Bacteria;p__OP11,NA,NA,NA,NA
58,k__Archaea;p__Euryarchaeota,k__Bacteria;p__OP3,NA,NA,NA,NA
59,k__Archaea;p__Euryarchaeota,k__Bacteria;p__Planctomycetes,NA,NA,NA,NA
60,k__Archaea;p__Euryarchaeota,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,NA,NA,NA,NA
61,k__Archaea;p__Euryarchaeota,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria,NA,NA,NA,NA
62,k__Archaea;p__Euryarchaeota,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria,NA,NA,NA,NA
63,k__Archaea;p__Euryarchaeota,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,NA,NA,NA,NA
64,k__Archaea;p__Euryarchaeota,k__Bacteria;p__SC3,NA,NA,NA,NA
65,k__Archaea;p__Euryarchaeota,k__Bacteria;p__SC4,NA,NA,NA,NA
66,k__Archaea;p__Euryarchaeota,k__Bacteria;p__SM2F11,NA,NA,NA,NA
67,k__Archaea;p__Euryarchaeota,k__Bacteria;p__SPAM,NA,NA,NA,NA
